"","name","sex","total"
"641","Marcos","M",22830
"642","Mitchell","M",22805
"643","Ayla","F",22770
"644","Heaven","F",22760
"645","Milo","M",22754
"646","Paris","F",22711
"647","Londyn","F",22687
"648","Kira","F",22657
"649","Emanuel","M",22571
"650","Allen","M",22552
"651","Haylee","F",22524
"652","Matteo","M",22408
"653","Brynn","F",22313
"654","Amari","M",22245
"655","Phillip","M",22188
"656","Carmen","F",22169
"657","Jazmine","F",22156
"658","Quinn","M",22151
"659","Madeleine","F",22139
"660","Macy","F",22056
"661","Parker","F",22021
"662","Lexi","F",22007
"663","Ronald","M",21986
"664","Cynthia","F",21761
"665","Kara","F",21752
"666","Malia","F",21695
"667","Gerardo","M",21665
"668","Noelle","F",21665
"669","Charlie","F",21632
"670","Erika","F",21629
"671","Jasmin","F",21598
"672","Cash","M",21579
"673","Monica","F",21564
"674","Paxton","M",21562
"675","Armando","M",21535
"676","Jakob","M",21474
"677","Enrique","M",21357
"678","Arya","F",21339
"679","Reid","M",21334
"680","Daniella","F",21310
"681","Raul","M",21303
"682","Walter","M",21229
"683","Walker","M",21169
"684","Phoebe","F",21128
"685","Hanna","F",21125
"686","Arabella","F",21120
"687","Annie","F",21076
"688","Harley","F",21068
"689","Trey","M",21063
"690","Jase","M",21002
"691","Heidi","F",20947
"692","Rhett","M",20944
"693","Leon","M",20896
"694","Juliette","F",20876
"695","Cadence","F",20814
"696","Michaela","F",20769
"697","Caiden","M",20732
"698","Alec","M",20645
"699","Juliet","F",20585
"700","Julio","M",20584
"701","Jayden","F",20535
"702","Savanna","F",20527
"703","Kamryn","F",20524
"704","Beckett","M",20515
"705","Keith","M",20502
"706","Brock","M",20473
"707","Hayley","F",20468
"708","Ashlynn","F",20377
"709","Julie","F",20316
"710","Jax","M",20298
"711","Joaquin","M",20209
"712","Rebekah","F",20173
"713","April","F",20122
"714","Julius","M",20108
"715","Brennan","M",19943
"716","Pablo","M",19899
"717","Talia","F",19876
"718","Darius","M",19863
"719","Carolina","F",19851
"720","Skyler","F",19832
"721","Raegan","F",19794
"722","Jane","F",19726
"723","Holly","F",19679
"724","Donald","M",19617
"725","Ali","M",19556
"726","Jaime","M",19548
"727","Serena","F",19483
"728","Elaina","F",19466
"729","Anderson","M",19344
"730","Nyla","F",19331
"731","Messiah","M",19264
"732","Celeste","F",19258
"733","Aden","M",19230
"734","Cameron","F",19152
"735","Elliana","F",19142
"736","Trent","M",19078
"737","Gunner","M",19069
"738","Casey","M",19062
"739","Rylie","F",19062
"740","Brett","M",19043
"741","Madilyn","F",19001
"742","Adelyn","F",18987
"743","Guadalupe","F",18986
"744","Adriel","M",18924
"745","Brenda","F",18858
"746","Ismael","M",18845
"747","Tatum","F",18835
"748","Lena","F",18809
"749","Sage","F",18788
"750","Finley","F",18735
"751","Philip","M",18730
"752","Logan","F",18657
"753","Danny","M",18650
"754","Phoenix","M",18624
"755","Kailey","F",18576
"756","Marshall","M",18559
"757","Jayda","F",18549
"758","Nayeli","F",18386
"759","Chandler","M",18329
"760","Eloise","F",18280
"761","Cruz","M",18278
"762","Barrett","M",18239
"763","Adan","M",18209
"764","Colt","M",18074
"765","Cali","F",18050
"766","Enzo","M",18043
"767","Emely","F",18032
"768","Maddison","F",17967
"769","Lilliana","F",17952
"770","Kali","F",17943
"771","Helen","F",17844
"772","Saul","M",17836
"773","Payton","M",17792
"774","Maci","F",17770
"775","Raven","F",17760
"776","Archer","M",17704
"777","Jay","M",17701
"778","Meghan","F",17688
"779","Alessandra","F",17559
"780","Kinley","F",17554
"781","Desmond","M",17535
"782","Gustavo","M",17521
"783","Amara","F",17512
"784","Esteban","M",17462
"785","Katelynn","F",17442
"786","Maximiliano","M",17437
"787","Evangeline","F",17351
"788","Jett","M",17343
"789","Jerry","M",17333
"790","Heather","F",17249
"791","Julissa","F",17244
"792","Damon","M",17223
"793","Dennis","M",17181
"794","Mathew","M",17176
"795","Jayson","M",17161
"796","Lizbeth","F",17122
"797","Desiree","F",17114
"798","Kobe","M",17086
"799","Ainsley","F",17029
"800","Alberto","M",17010
"801","Albert","M",17009
"802","Karson","M",16980
"803","Lia","F",16954
"804","Russell","M",16941
"805","Titus","M",16936
"806","Kyleigh","F",16899
"807","Tatiana","F",16886
"808","Brynlee","F",16881
"809","Emerson","M",16839
"810","Cohen","M",16836
"811","Remington","M",16751
"812","Kenzie","F",16724
"813","Tobias","M",16683
"814","Tony","M",16679
"815","Priscilla","F",16650
"816","Imani","F",16629
"817","Kaydence","F",16623
"818","Lilah","F",16601
"819","Braylon","M",16595
"820","Grady","M",16594
"821","Gemma","F",16593
"822","Lyric","F",16532
"823","Jimmy","M",16500
"824","Randy","M",16491
"825","Journey","F",16488
"826","Ciara","F",16429
"827","Catalina","F",16415
"828","Rowan","F",16312
"829","Aniya","F",16282
"830","Nia","F",16245
"831","Arturo","M",16194
"832","Sasha","F",16181
"833","Kade","M",16152
"834","Kristen","F",16069
"835","Bridget","F",16063
"836","Aspen","F",16050
"837","Knox","M",16040
"838","Amiyah","F",16034
"839","Reed","M",16020
"840","Legend","M",16007
"841","Nehemiah","M",15984
"842","Lance","M",15928
"843","Addyson","F",15918
"844","Thiago","M",15916
"845","Kaylie","F",15881
"846","Diamond","F",15879
"847","Moises","M",15870
"848","Lindsay","F",15820
"849","Tate","M",15737
"850","Claudia","F",15701
"851","Curtis","M",15636
"852","Quentin","M",15603
"853","Ada","F",15564
"854","Amari","F",15549
"855","Skye","F",15524
"856","Hugo","M",15518
"857","Maeve","F",15507
"858","Viviana","F",15495
"859","Iker","M",15481
"860","Baylee","F",15476
"861","Adelaide","F",15443
"862","Nancy","F",15437
"863","Itzel","F",15432
"864","Romeo","M",15422
"865","Haven","F",15406
"866","Zackary","M",15377
"867","Olive","F",15370
"868","Miracle","F",15354
"869","June","F",15319
"870","Tristen","M",15303
"871","Lana","F",15296
"872","Francesca","F",15295
"873","Macie","F",15292
"874","Amira","F",15290
"875","Arielle","F",15287
"876","Shannon","F",15260
"877","Sloane","F",15217
"878","Rodrigo","M",15193
"879","Rosalie","F",15193
"880","Joy","F",15135
"881","Lucille","F",15118
"882","Fernanda","F",15104
"883","Khalil","M",15094
"884","Meredith","F",15059
"885","Sarai","F",15052
"886","Darren","M",15047
"887","Madalyn","F",15035
"888","Vivienne","F",15020
"889","Larry","M",15014
"890","Orion","M",15005
"891","Hallie","F",14982
"892","Elle","F",14967
"893","Ronan","M",14937
"894","Lauryn","F",14926
"895","Noel","M",14913
"896","Kassidy","F",14910
"897","Ace","M",14909
"898","Kamila","F",14897
"899","Keaton","M",14864
"900","Jonas","M",14845
"901","Madisyn","F",14815
"902","Natasha","F",14796
"903","Brenden","M",14795
"904","Gideon","M",14741
"905","Daphne","F",14738
"906","Asia","F",14715
"907","Nash","M",14689
"908","Paola","F",14668
"909","Solomon","M",14663
"910","Alfredo","M",14627
"911","Malcolm","M",14621
"912","Anahi","F",14605
"913","Angie","F",14579
"914","Matias","M",14556
"915","Madelynn","F",14553
"916","Leonel","M",14542
"917","Janelle","F",14540
"918","Gia","F",14532
"919","Samara","F",14520
"920","Marvin","M",14510
"921","Lawrence","M",14476
"922","Theo","M",14474
"923","Annika","F",14469
"924","Kathleen","F",14381
"925","Davis","M",14356
"926","Zachariah","M",14311
"927","Elsie","F",14310
"928","Conor","M",14263
"929","Charlee","F",14260
"930","Camilla","F",14229
"931","Warren","M",14215
"932","Lacey","F",14189
"933","Jimena","F",14161
"934","Sandra","F",14130
"935","Anaya","F",14127
"936","Leland","M",14127
"937","Emersyn","F",14121
"938","Luka","M",14121
"939","Myla","F",14099
"940","Anne","F",14062
"941","Chris","M",14026
"942","Anya","F",13968
"943","Emilee","F",13954
"944","Ariella","F",13941
"945","Bryant","M",13924
"946","Gary","M",13921
"947","Gloria","F",13898
"948","Nikolas","M",13857
"949","Kendrick","M",13831
"950","Douglas","M",13814
"951","Brayan","M",13802
"952","Kaitlin","F",13785
"953","Ricky","M",13779
"954","Shayla","F",13738
"955","Joselyn","F",13709
"956","Jazlyn","F",13700
"957","Dulce","F",13698
"958","Kiera","F",13696
"959","Nasir","M",13692
"960","Tiana","F",13663
"961","Zara","F",13626
"962","Mauricio","M",13614
"963","Kaia","F",13589
"964","Rosa","F",13526
"965","Johanna","F",13475
"966","Ryan","F",13474
"967","Remi","F",13473
"968","Patricia","F",13465
"969","Ember","F",13450
"970","Uriel","M",13406
"971","Annabella","F",13389
"972","Joe","M",13365
"973","Sawyer","F",13359
"974","Reece","M",13353
"975","Kristina","F",13347
"976","Wendy","F",13329
"977","Cindy","F",13323
"978","Cyrus","M",13316
"979","Gwendolyn","F",13314
"980","Virginia","F",13300
"981","Muhammad","M",13295
"982","Franklin","M",13292
"983","Bruce","M",13290
"984","Elisa","F",13284
"985","Casey","F",13183
"986","Vera","F",13167
"987","Tori","F",13143
"988","Ramon","M",13107
"989","Brenna","F",13082
"990","Justice","M",13073
"991","Alanna","F",13071
"992","Salvador","M",13063
"993","Blakely","F",13034
"994","Alissa","F",13006
"995","River","F",12992
"996","Justice","F",12957
"997","Felicity","F",12948
"998","Wade","M",12945
"999","Atticus","M",12927
"1000","Issac","M",12917
"1001","Kaylin","F",12909
"1002","Nickolas","M",12903
"1003","Christine","F",12884
"1004","Maliyah","F",12877
"1005","Denise","F",12871
"1006","Danna","F",12856
"1007","Mohamed","M",12854
"1008","Orlando","M",12835
"1009","Kassandra","F",12827
"1010","Finley","M",12816
"1011","Marc","M",12810
"1012","Gracelyn","F",12793
"1013","Everleigh","F",12738
"1014","Miley","F",12732
"1015","Sylvia","F",12727
"1016","Kennedi","F",12723
"1017","Maximilian","M",12723
"1018","Cory","M",12711
"1019","Marina","F",12707
"1020","Porter","M",12668
"1021","Kiana","F",12667
"1022","Morgan","M",12658
"1023","Jonathon","M",12647
"1024","Kane","M",12646
"1025","Kristopher","M",12644
"1026","Lilian","F",12606
"1027","Marilyn","F",12601
"1028","Amina","F",12587
"1029","Dylan","F",12511
"1030","Kaelyn","F",12469
"1031","Kolton","M",12450
"1032","Eve","F",12434
"1033","Ernesto","M",12432
"1034","Kiley","F",12430
"1035","Aylin","F",12412
"1036","Prince","M",12402
"1037","Clarissa","F",12382
"1038","Kyrie","M",12378
"1039","Frederick","M",12375
"1040","Melany","F",12375
"1041","Journee","F",12370
